company_id,name,sector,website,is_competitor,notes
pc_toast,Toast,Restaurant technology,https://pos.toasttab.com,0,"Restaurant POS and operating system. A likely data source and partner rather than a competitor."
pc_olo,Olo,Restaurant technology,https://www.olo.com,0,"Digital ordering and guest data for multi-location restaurant brands."
pc_sevenrooms,SevenRooms,Restaurant technology,https://sevenrooms.com,1,"Restaurant CRM and marketing, acquired by DoorDash. Watch as platform encroachment."
pc_punchh,Punchh,Restaurant technology,https://punchh.com,1,"Restaurant loyalty and marketing, part of PAR Technology."
pc_thanx,Thanx,Restaurant technology,https://www.thanx.com,1,"Restaurant loyalty and guest engagement platform."
pc_bikky,Bikky,Restaurant technology,https://www.bikky.com,1,"Restaurant customer data platform and marketing analytics."
pc_klaviyo,Klaviyo,Marketing software,https://www.klaviyo.com,1,"Commerce marketing and CRM platform."
pc_braze,Braze,Marketing software,https://www.braze.com,1,"Customer engagement and lifecycle messaging platform."
pc_attentive,Attentive,Marketing software,https://www.attentive.com,1,"Conversational and SMS marketing for consumer brands."
pc_northbeam,Northbeam,Measurement,https://www.northbeam.io,1,"Multi-touch attribution and media measurement for consumer brands."
pc_haus,Haus,Measurement,https://www.haus.io,1,"Geo-experiment based incrementality measurement."
pc_measured,Measured,Measurement,https://www.measured.com,1,"Incrementality testing and media mix measurement."
pc_prescient,Prescient AI,Measurement,https://www.prescientai.com,1,"AI media mix modelling and budget allocation for consumer brands."
pc_segment,Twilio Segment,GTM data infrastructure,https://segment.com,0,"Customer data platform. Adjacent infrastructure rather than a competitor."
pc_amplitude,Amplitude,GTM data infrastructure,https://amplitude.com,0,"Product and behavioural analytics."
pc_hightouch,Hightouch,GTM data infrastructure,https://hightouch.com,0,"Warehouse-native activation and reverse ETL."
pc_freshworks,Freshworks,B2B SaaS,https://www.freshworks.com,0,"Cross-border B2B SaaS reference point for India-origin companies selling into the US."
pc_postman,Postman,Developer tools,https://www.postman.com,0,"India-origin, US-incorporated software company."
pc_veeva,Veeva Systems,Vertical SaaS,https://www.veeva.com,0,"Reference case for a category-defining vertical software company."
pc_shopify,Shopify,Commerce,https://www.shopify.com,0,"Commerce platform and a likely data source for the CPG expansion."
pc_faire,Faire,Commerce,https://www.faire.com,0,"Wholesale marketplace for consumer brands."
pc_doordash,DoorDash,Marketplaces & delivery,https://www.doordash.com,1,"Delivery marketplace expanding into merchant software, CRM and advertising."
pc_ubereats,Uber Eats,Marketplaces & delivery,https://www.ubereats.com,1,"Delivery marketplace with a growing advertising business."
