firm_id,tag_id,strength,evidence_url
f_menlo,t_ai_b2b_saas,0.9,https://menlovc.com
f_menlo,t_workflow_automation,0.7,https://menlovc.com
f_menlo,t_gtm_data_infra,0.5,https://menlovc.com
f_menlo,t_first_institutional,0.8,https://menlovc.com
f_accel,t_ai_b2b_saas,0.8,https://www.accel.com
f_accel,t_gtm_data_infra,0.7,https://www.accel.com
f_accel,t_vertical_saas,0.6,https://www.accel.com
f_accel,t_first_institutional,0.8,https://www.accel.com
f_greylock,t_ai_b2b_saas,0.9,https://greylock.com
f_greylock,t_workflow_automation,0.6,https://greylock.com
f_greylock,t_first_institutional,0.9,https://greylock.com
f_bessemer,t_vertical_saas,0.9,https://www.bvp.com
f_bessemer,t_restaurant_tech,0.6,https://www.bvp.com
f_bessemer,t_ai_b2b_saas,0.7,https://www.bvp.com
f_bessemer,t_cpg_commerce,0.5,https://www.bvp.com
f_bessemer,t_first_institutional,0.7,https://www.bvp.com
f_emergence,t_vertical_saas,0.9,https://www.emcap.com
f_emergence,t_ai_b2b_saas,0.7,https://www.emcap.com
f_emergence,t_first_institutional,0.8,https://www.emcap.com
f_craft,t_ai_b2b_saas,0.7,https://www.craftventures.com
f_craft,t_martech,0.5,https://www.craftventures.com
f_craft,t_marketplaces,0.5,https://www.craftventures.com
f_craft,t_first_institutional,0.7,https://www.craftventures.com
f_costanoa,t_ai_b2b_saas,0.9,https://costanoavc.com
f_costanoa,t_gtm_data_infra,0.8,https://costanoavc.com
f_costanoa,t_vertical_saas,0.5,https://costanoavc.com
f_costanoa,t_first_institutional,0.9,https://costanoavc.com
f_bowery,t_martech,0.9,https://bowerycap.com
f_bowery,t_gtm_data_infra,0.8,https://bowerycap.com
f_bowery,t_ai_b2b_saas,0.7,https://bowerycap.com
f_bowery,t_measurement,0.6,https://bowerycap.com
f_bowery,t_first_institutional,0.8,https://bowerycap.com
f_forerunner,t_cpg_commerce,0.9,https://forerunnerventures.com
f_forerunner,t_martech,0.5,https://forerunnerventures.com
f_forerunner,t_marketplaces,0.5,https://forerunnerventures.com
f_forerunner,t_first_institutional,0.7,https://forerunnerventures.com
f_cleveland,t_restaurant_tech,0.9,https://www.clevelandavenue.com
f_cleveland,t_cpg_commerce,0.7,https://www.clevelandavenue.com
f_cleveland,t_multi_location,0.8,https://www.clevelandavenue.com
f_cleveland,t_first_institutional,0.5,https://www.clevelandavenue.com
f_nexus,t_ai_b2b_saas,0.8,https://nexusvp.com
f_nexus,t_gtm_data_infra,0.7,https://nexusvp.com
f_nexus,t_india_us_corridor,1.0,https://nexusvp.com
f_nexus,t_first_institutional,0.8,https://nexusvp.com
f_peakxv,t_ai_b2b_saas,0.7,https://www.peakxv.com
f_peakxv,t_vertical_saas,0.6,https://www.peakxv.com
f_peakxv,t_india_us_corridor,0.9,https://www.peakxv.com
f_peakxv,t_first_institutional,0.8,https://www.peakxv.com
f_together,t_ai_b2b_saas,0.8,https://www.together.fund
f_together,t_gtm_data_infra,0.6,https://www.together.fund
f_together,t_india_us_corridor,1.0,https://www.together.fund
f_together,t_first_institutional,0.8,https://www.together.fund
f_stellaris,t_ai_b2b_saas,0.8,https://stellarisvp.com
f_stellaris,t_vertical_saas,0.5,https://stellarisvp.com
f_stellaris,t_india_us_corridor,0.8,https://stellarisvp.com
f_stellaris,t_first_institutional,0.7,https://stellarisvp.com
f_prime,t_ai_b2b_saas,0.7,https://primevp.in
f_prime,t_india_us_corridor,0.8,https://primevp.in
f_prime,t_first_institutional,0.7,https://primevp.in
f_avataar,t_gtm_data_infra,0.7,https://avataarvc.com
f_avataar,t_ai_b2b_saas,0.6,https://avataarvc.com
f_avataar,t_india_us_corridor,0.8,https://avataarvc.com
