firm_id,name,website,hq_city,hq_country,geo_segment,firm_type,stage_focus,leads_rounds,check_min_usd_k,check_max_usd_k,sweet_spot_usd_k,invests_in_us_cos,thesis_summary,conflict_flag,conflict_note,engagement_status,engagement_reason,source_url,verification_status,notes,access_mode,application_url,access_notes,decision_process,decision_makers,decision_timeline_days,decision_notes,target_partner_role,linkedin_query
f_menlo,Menlo Ventures,https://menlovc.com,Menlo Park,USA,US,Multistage,"Seed,Series A,Series B",1,1000,15000,5000,1,Multistage firm with an explicit applied-AI practice; invests across enterprise software and AI infrastructure.,0,,Engage,,https://menlovc.com,UNVERIFIED,"Cheque range is a planning estimate. Confirm current fund, stage appetite and partner ownership before outreach.",Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Seed partner covering enterprise AI, AI applications or vertical software",Menlo Ventures partner AI SaaS
f_accel,Accel,https://www.accel.com,Palo Alto,USA,US,Multistage,"Seed,Series A,Series B",1,1000,20000,6000,1,Global multistage firm with a long history in B2B SaaS and go-to-market software.,0,,Engage,,https://www.accel.com,UNVERIFIED,"Cheque range is a planning estimate. Accel runs separate US, Europe and India practices - confirm which entity would lead.",Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Seed partner covering enterprise AI, AI applications or vertical software",Accel partner AI SaaS
f_greylock,Greylock,https://greylock.com,Menlo Park,USA,US,Multistage,"Seed,Series A",1,1000,15000,5000,1,Enterprise and AI-focused multistage firm that writes early cheques and leads.,0,,Engage,,https://greylock.com,UNVERIFIED,Cheque range is a planning estimate. Confirm partner coverage for applied AI in marketing.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Seed partner covering enterprise AI, AI applications or vertical software",Greylock partner AI SaaS
f_bessemer,Bessemer Venture Partners,https://www.bvp.com,San Francisco,USA,US,Multistage,"Seed,Series A,Series B",1,1000,20000,5000,1,Cloud and vertical SaaS franchise with documented restaurant and commerce technology exposure.,0,,Engage,,https://www.bvp.com,UNVERIFIED,Cheque range is a planning estimate. Publishes public roadmaps and theses - read before the first call.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Seed partner covering enterprise AI, AI applications or vertical software",Bessemer Venture Partners partner AI SaaS
f_emergence,Emergence Capital,https://www.emcap.com,San Mateo,USA,US,Early-stage,"Series A,Series B",1,2000,15000,8000,1,Concentrated early-stage enterprise firm focused on vertical and coaching-network software.,0,,Engage,,https://www.emcap.com,UNVERIFIED,Makes few investments per year and typically enters at Series A. Confirm stage fit before spending a slot.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner or GP leading AI, enterprise SaaS or vertical software",Emergence Capital partner AI SaaS
f_craft,Craft Ventures,https://www.craftventures.com,San Francisco,USA,US,Early-stage,"Seed,Series A",1,500,8000,3000,1,Early-stage B2B SaaS and marketplace firm with a strong operating and go-to-market orientation.,0,,Engage,,https://www.craftventures.com,UNVERIFIED,Cheque range is a planning estimate.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner or GP leading AI, enterprise SaaS or vertical software",Craft Ventures partner AI SaaS
f_costanoa,Costanoa Ventures,https://costanoavc.com,Palo Alto,USA,US,Seed,"Pre-seed,Seed,Series A",1,500,5000,2000,1,"Seed and Series A firm concentrated on applied AI, data infrastructure and B2B software.",0,,Engage,,https://costanoavc.com,UNVERIFIED,Strong stage fit for a seed round. Cheque range is a planning estimate.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner or GP leading AI, enterprise SaaS or vertical software",Costanoa Ventures partner AI SaaS
f_bowery,Bowery Capital,https://bowerycap.com,New York,USA,US,Seed,"Pre-seed,Seed",1,250,2500,1000,1,Seed firm organised explicitly around go-to-market technology and enterprise sales enablement.,0,,Engage,,https://bowerycap.com,UNVERIFIED,Thesis is close to the go-to-market decisioning framing. Confirm current fund is actively deploying.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner or GP leading AI, enterprise SaaS or vertical software",Bowery Capital partner AI SaaS
f_forerunner,Forerunner Ventures,https://forerunnerventures.com,San Francisco,USA,US,Early-stage,"Seed,Series A",1,1000,10000,4000,1,Consumer and commerce firm with deep coverage of how consumer brands acquire and retain customers.,0,,Engage,,https://forerunnerventures.com,UNVERIFIED,Best fit for the CPG and consumer-commerce expansion narrative rather than the restaurant wedge.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner or GP leading AI, enterprise SaaS or vertical software",Forerunner Ventures partner AI SaaS
f_cleveland,Cleveland Avenue,https://www.clevelandavenue.com,Chicago,USA,US,Sector specialist,"Seed,Series A",1,250,5000,1500,1,"Food, beverage and restaurant-technology specialist founded by former restaurant operators.",0,,Engage,,https://www.clevelandavenue.com,UNVERIFIED,Sector specialist with operator credibility. Confirm whether they invest in software as well as brands.,Direct outreach,,Start with the scoped LinkedIn search; confirm the investor owns the thesis before sending a deck.,"Unknown — ask for the exact gates, decision makers and timing in the first conversation.",,,Do not infer an investment-committee process from firm size. Record the sourced answer here.,"Partner covering software, data and AI in the firm's target vertical",Cleveland Avenue partner AI SaaS
